,Date,Open,High,Low,Close,Adj Close,Volume,,
01/10/2021,192,43816.74219,48436.01172,43320.02344,48116.94141,48116.94141,42850641582,,1
03/10/2021,194,47680.02734,49130.69141,47157.28906,48199.95313,48199.95313,26638115879,,1
05/10/2021,196,49174.96094,51839.98438,49072.83984,51514.8125,51514.8125,35873904236,,1
07/10/2021,198,55338.625,55338.625,53525.46875,53805.98438,53805.98438,36807860413,,1
09/10/2021,200,53929.78125,55397.94531,53735.14453,54968.22266,54968.22266,32491211414,,1
11/10/2021,202,54734.125,57793.03906,54519.76563,57484.78906,57484.78906,42637331698,,1
13/10/2021,204,56038.25781,57688.66016,54370.97266,57401.09766,57401.09766,41684252783,,1
15/10/2021,206,57345.90234,62757.12891,56868.14453,61593.94922,61593.94922,51780081801,,1
17/10/2021,208,60887.65234,61645.52344,59164.46875,61553.61719,61553.61719,29032367511,,1
19/10/2021,210,62043.16406,64434.53516,61622.93359,64261.99219,64261.99219,40471196346,,1
21/10/2021,212,66002.23438,66600.54688,62117.41016,62210.17188,62210.17188,45908121370,,1
23/10/2021,214,60694.62891,61743.87891,59826.52344,61393.61719,61393.61719,26882546034,,1
25/10/2021,216,60893.92578,63729.32422,60691.80078,63039.82422,63039.82422,31064911614,,1
27/10/2021,218,60352,61435.18359,58208.1875,58482.38672,58482.38672,43657076893,,1
29/10/2021,220,60624.87109,62927.60938,60329.96484,62227.96484,62227.96484,36856881767,,1
31/10/2021,222,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927,,1
02/11/2021,224,60963.25391,64242.79297,60673.05469,63226.40234,63226.40234,37746665647,,1
04/11/2021,226,62941.80469,63123.28906,60799.66406,61452.23047,61452.23047,32615846901,,1
06/11/2021,228,61068.875,61590.68359,60163.78125,61527.48047,61527.48047,29094934221,,1
08/11/2021,230,63344.06641,67673.74219,63344.06641,67566.82813,67566.82813,41125608330,,1
10/11/2021,232,66953.33594,68789.625,63208.11328,64995.23047,64995.23047,48730828378,,1
12/11/2021,234,64863.98047,65460.81641,62333.91406,64155.94141,64155.94141,36084893887,,1
14/11/2021,236,64455.37109,65495.17969,63647.80859,65466.83984,65466.83984,25122092191,,1
16/11/2021,238,63721.19531,63721.19531,59016.33594,60161.24609,60161.24609,46844335592,,1
18/11/2021,240,60360.13672,60948.5,56550.79297,56942.13672,56942.13672,41388338699,,1
20/11/2021,242,58115.08203,59859.87891,57469.72656,59697.19531,59697.19531,30624264863,,1
22/11/2021,244,58706.84766,59266.35938,55679.83984,56289.28906,56289.28906,35036121783,,1
24/11/2021,246,57565.85156,57803.06641,55964.22266,56280.42578,56280.42578,36635566789,,1
26/11/2021,248,58960.28516,59183.48047,53569.76563,53569.76563,53569.76563,41810748221,,1
28/11/2021,250,54813.02344,57393.84375,53576.73438,57248.45703,57248.45703,28116886357,,1
30/11/2021,252,57830.11328,59113.40234,56057.28125,57005.42578,57005.42578,36708594618,,1
02/12/2021,254,57217.37109,57349.23438,55895.13281,56477.81641,56477.81641,32379968686,,1
04/12/2021,256,53727.87891,53904.67969,42874.61719,49200.70313,49200.70313,61385677469,,1
06/12/2021,258,49413.48047,50929.51953,47281.03516,50582.625,50582.625,37707308001,,1
08/12/2021,260,50667.64844,51171.375,48765.98828,50504.79688,50504.79688,28479699446,,1
10/12/2021,262,47642.14453,50015.25391,47023.69922,47243.30469,47243.30469,30966005122,,1
12/12/2021,264,49354.85547,50724.86719,48725.85156,50098.33594,50098.33594,21939223599,,1
14/12/2021,266,46709.82422,48431.39844,46424.49609,46612.63281,46612.63281,34638619079,,1
16/12/2021,268,48900.46484,49425.57422,47529.87891,47665.42578,47665.42578,27268150947,,1
